timestamp,displacement,pore_pressure,vibration,rainfall,strain
12:00:00,10.02,98.5,2.1,0.0,0.0011
12:01:00,10.04,98.8,1.9,0.0,0.0011
12:02:00,10.05,99.2,2.3,0.0,0.0012
12:03:00,10.08,98.9,2.0,0.0,0.0012
12:04:00,10.11,99.5,2.2,0.0,0.0011
12:05:00,10.12,100.1,2.4,0.0,0.0013
12:06:00,10.15,99.8,2.1,0.0,0.0012
12:07:00,10.17,100.3,2.5,0.0,0.0012
12:08:00,10.20,100.0,2.3,0.0,0.0013
12:09:00,10.21,100.5,2.6,0.0,0.0012
12:10:00,10.24,101.1,2.2,0.5,0.0014
12:11:00,10.25,101.4,2.5,1.2,0.0014
12:12:00,10.28,102.1,2.7,2.5,0.0015
12:13:00,10.31,103.5,3.1,4.8,0.0016
12:14:00,10.35,105.2,3.4,6.2,0.0017
12:15:00,10.40,108.0,3.6,8.5,0.0018
12:16:00,10.45,110.4,3.9,10.2,0.0019
12:17:00,10.51,112.9,4.2,12.5,0.0020
12:18:00,10.58,115.1,4.5,14.0,0.0022
12:19:00,10.66,118.5,4.8,16.2,0.0024
12:20:00,10.75,121.2,5.2,18.5,0.0026
12:21:00,10.85,123.8,5.5,20.0,0.0028
12:22:00,10.96,126.4,5.9,21.8,0.0030
12:23:00,11.08,129.0,6.2,23.5,0.0032
12:24:00,11.21,131.5,6.5,24.8,0.0034
12:25:00,11.35,134.1,6.8,26.0,0.0037
12:26:00,11.51,136.8,7.2,27.5,0.0039
12:27:00,11.68,139.2,7.5,29.0,0.0042
12:28:00,11.86,141.9,7.9,30.5,0.0044
12:29:00,12.05,144.5,8.2,32.0,0.0047
12:30:00,12.26,147.0,8.5,33.5,0.0050
12:31:00,12.48,149.6,8.9,35.0,0.0053
12:32:00,12.72,152.1,9.3,36.5,0.0056
12:33:00,12.98,154.8,9.7,38.0,0.0060
12:34:00,13.26,157.4,10.2,39.2,0.0064
12:35:00,13.56,160.1,10.8,40.5,0.0068
12:36:00,13.88,162.8,11.3,42.0,0.0073
12:37:00,14.23,165.5,11.9,43.5,0.0078
12:38:00,14.61,168.2,12.5,45.0,0.0084
12:39:00,15.02,171.0,13.2,46.5,0.0090
12:40:00,15.47,173.8,13.9,48.0,0.0097
12:41:00,15.96,176.5,14.7,49.2,0.0105
12:42:00,16.50,179.3,15.6,50.5,0.0114
12:43:00,17.10,182.2,16.6,52.0,0.0124
12:44:00,17.77,185.1,17.7,53.5,0.0136
12:45:00,18.52,188.0,18.9,55.0,0.0150
12:46:00,19.37,191.1,20.3,56.5,0.0166
12:47:00,20.34,194.2,21.9,58.0,0.0185
12:48:00,21.46,197.4,23.8,59.5,0.0208
12:49:00,22.76,200.7,26.1,61.0,0.0236
12:50:00,24.31,204.2,28.9,62.5,0.0272
12:51:00,26.21,207.9,32.4,64.0,0.0320
12:52:00,28.61,211.8,36.9,65.5,0.0384
12:53:00,31.81,216.0,43.2,67.0,0.0480
12:54:00,36.61,220.8,53.8,68.5,0.0640
12:55:00,45.41,226.7,77.5,70.0,0.0960
12:56:00,67.41,234.9,152.0,72.0,0.1920
12:57:00,111.41,250.0,300.0,74.0,0.4800
12:58:00,200.00,270.0,450.0,75.0,0.9500
12:59:00,350.00,300.0,600.0,76.0,1.5000
